Neutrino Energy (GeV),Propagation Distance (km),Mixing Angle Theta,sin²(2θ),Mass-Squared Difference (eV^2),Shots Used,Number of Trials,Simulation Time Points,Analytical Time Points,Using Real QPU,Analytical Time Points,Analytical Electron,Analytical Muon,Analytical Electron Sim Time-Matched,Analytical Muon Sim Time-Matched,Time Points in Simulation,Simulation Electron Median,Electron Lower Error,Electron Upper Error,Simulation Muon Median,Muon Lower Error,Muon Upper Error,Trial 1: Electron Probabilities,Trial 1: Muon Probabilities,Trial 2: Electron Probabilities,Trial 2: Muon Probabilities,Trial 3: Electron Probabilities,Trial 3: Muon Probabilities,Trial 4: Electron Probabilities,Trial 4: Muon Probabilities,Trial 5: Electron Probabilities,Trial 5: Muon Probabilities,Trial 6: Electron Probabilities,Trial 6: Muon Probabilities,Trial 7: Electron Probabilities,Trial 7: Muon Probabilities,Trial 8: Electron Probabilities,Trial 8: Muon Probabilities,Trial 9: Electron Probabilities,Trial 9: Muon Probabilities,Trial 10: Electron Probabilities,Trial 10: Muon Probabilities
1.0,40000.0,0.5878,0.85178,7.49e-05,1000.0,10.0,10.0,40000.0,True,0.0,1.0,0.0,1.0,0.0,0.0,0.9915,0.0012500000000000844,0.003249999999999975,0.0085,0.0032500000000000003,0.0012499999999999994,0.99,0.01,0.992,0.008,0.996,0.004,0.995,0.005,0.987,0.013,0.991,0.009,0.991,0.009,0.989,0.011,0.998,0.002,0.994,0.006
,,,,,,,,,,1.0000250006250155,0.9999999922923811,7.70761883805709e-09,0.8566151629460743,0.14338483705392563,4444.444444444444,0.849,0.005750000000000033,0.005249999999999977,0.151,0.005250000000000005,0.005750000000000005,0.843,0.157,0.844,0.156,0.855,0.145,0.86,0.14,0.858,0.142,0.817,0.183,0.851,0.149,0.832,0.168,0.852,0.148,0.847,0.153
,,,,,,,,,,2.000050001250031,0.9999999691695249,3.08304750732484e-08,0.5230077046977724,0.47699229530222764,8888.888888888889,0.5065,0.007249999999999979,0.0202500000000001,0.4935,0.020250000000000046,0.007250000000000034,0.507,0.493,0.485,0.515,0.546,0.454,0.523,0.477,0.528,0.472,0.529,0.471,0.497,0.503,0.506,0.494,0.506,0.494,0.492,0.508
,,,,,,,,,,3.0000750018750466,0.9999999306314321,6.936856786863407e-08,0.22380957245830257,0.7761904275416974,13333.333333333332,0.2275,0.006500000000000006,0.006249999999999978,0.7725,0.006249999999999978,0.006500000000000061,0.228,0.772,0.23,0.77,0.248,0.752,0.235,0.765,0.216,0.784,0.227,0.773,0.221,0.779,0.221,0.779,0.214,0.786,0.237,0.763
,,,,,,,,,,4.000100002500062,0.9999998766781042,1.233218958293143e-07,0.1604834716024613,0.8395165283975387,17777.777777777777,0.158,0.005750000000000005,0.016499999999999987,0.842,0.01650000000000007,0.005750000000000033,0.186,0.814,0.157,0.843,0.156,0.844,0.178,0.822,0.197,0.803,0.151,0.849,0.146,0.854,0.143,0.857,0.164,0.836,0.159,0.841
,,,,,,,,,,5.000125003125078,0.999999807309543,1.9269045700242953e-07,0.3756695293112336,0.6243304706887663,22222.222222222223,0.374,0.016000000000000014,0.008500000000000008,0.626,0.008500000000000063,0.016000000000000014,0.367,0.633,0.391,0.609,0.355,0.645,0.38,0.62,0.386,0.614,0.381,0.619,0.354,0.646,0.368,0.632,0.346,0.654,0.383,0.617
,,,,,,,,,,6.000150003750093,0.9999997225257511,2.774742488771604e-07,0.7244739131507949,0.2755260868492051,26666.666666666664,0.714,0.0035000000000000586,0.005249999999999977,0.286,0.005249999999999977,0.003500000000000003,0.726,0.274,0.716,0.284,0.72,0.28,0.71,0.29,0.698,0.302,0.722,0.278,0.712,0.288,0.717,0.283,0.712,0.288,0.683,0.317
,,,,,,,,,,7.000175004375109,0.9999996223267316,3.776732683847278e-07,0.9720319414247532,0.027968058575246837,31111.11111111111,0.962,0.005750000000000033,0.00275000000000003,0.038,0.0027499999999999955,0.005749999999999998,0.97,0.03,0.964,0.036,0.971,0.029,0.952,0.048,0.96,0.04,0.965,0.035,0.963,0.037,0.955,0.045,0.948,0.052,0.961,0.039
,,,,,,,,,,8.000200005000124,0.999999506712488,4.932875118983931e-07,0.9516523700813987,0.048347629918601316,35555.555555555555,0.9464999999999999,0.005249999999999977,0.0040000000000000036,0.0535,0.003999999999999997,0.005249999999999998,0.941,0.059,0.949,0.051,0.931,0.069,0.942,0.058,0.933,0.067,0.957,0.043,0.944,0.056,0.949,0.051,0.956,0.044,0.951,0.049
,,,,,,,,,,9.00022500562514,0.9999993756830248,6.243169752334586e-07,0.6770576225283553,0.3229423774716446,40000.0,0.6735,0.0044999999999999485,0.008000000000000007,0.3265,0.008000000000000007,0.004500000000000004,0.689,0.311,0.665,0.335,0.68,0.32,0.668,0.332,0.682,0.318,0.674,0.326,0.684,0.316,0.672,0.328,0.651,0.349,0.673,0.327
,,,,,,,,,,10.000250006250155,0.9999992292383464,7.707616536472666e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,11.000275006875171,0.9999990673784581,9.32621541839201e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,12.000300007500186,0.9999988901033661,1.1098966339506862e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,13.000325008125202,0.9999986974130765,1.3025869235651882e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,14.000350008750218,0.9999984893075963,1.5106924037082151e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15.000375009375233,0.9999982657869332,1.734213066847315e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,16.00040001000025,0.9999980268510951,1.97314890489208e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,17.000425010625264,0.9999977725000908,2.227499909194144e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,18.00045001125028,0.9999975027339294,2.497266070547182e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,19.000475011875295,0.9999972175526208,2.782447379186916e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,20.00050001250031,0.9999969169561752,3.083043824791106e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,21.000525013125326,0.9999966009446035,3.39905539647956e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,22.000550013750342,0.9999962695179172,3.7304820828141275e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,23.000575014375357,0.9999959226761282,4.077323871798703e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,24.000600015000373,0.9999955604192491,4.43958075087923e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,25.00062501562539,0.999995182747293,4.817252706943688e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,26.000650016250404,0.9999947896602737,5.210339726322114e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,27.00067501687542,0.9999943811582052,5.618841794786582e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,28.000700017500435,0.9999939572411024,6.042758897551221e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,29.00072501812545,0.9999935179089807,6.482091019272197e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,30.000750018750466,0.999993063161856,6.936838144047735e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,31.00077501937548,0.9999925929997446,7.407000255418101e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,32.0008000200005,0.9999921074226636,7.892577336365611e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,33.00082502062551,0.9999916064306307,8.393569369314638e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,34.00085002125053,0.9999910900236638,8.909976336131595e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,35.000875021875544,0.9999905582017818,9.441798218124953e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,36.00090002250056,0.999990010965004,9.989034996045233e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,37.000925023125575,0.9999894483133499,1.0551686650085008e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,38.00095002375059,0.9999888702468401,1.1129753159878903e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,39.000975024375606,0.9999882767654955,1.1723234504503602e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,40.00100002500062,0.9999876678693376,1.2332130662477835e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,41.00102502562564,0.9999870435583882,1.2956441611762398e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,42.00105002625065,0.9999864038326702,1.3596167329760137e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,43.00107502687567,0.9999857486922067,1.4251307793315945e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,44.001100027500684,0.9999850781370213,1.4921862978716788e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,45.0011250281257,0.9999843921671383,1.56078328616917e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,46.001150028750715,0.9999836907825825,1.6309217417411744e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,47.00117502937573,0.9999829739833795,1.702601662049008e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,48.001200030000746,0.999982241769555,1.7758230444981882e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,49.00122503062576,0.9999814941411356,1.850585886438443e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,50.00125003125078,0.9999807310981483,1.9268901851637053e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,51.00127503187579,0.9999799526406209,2.0047359379121148e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,52.00130003250081,0.9999791587685813,2.084123141866016e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,53.00132503312582,0.9999783494820584,2.165051794151961e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,54.00135003375084,0.9999775247810816,2.2475218918407105e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,55.001375034375855,0.9999766846656806,2.3315334319472293e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,56.00140003500087,0.9999758291358857,2.417086411430691e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,57.001425035625886,0.9999749581917281,2.5041808271944746e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,58.0014500362509,0.9999740718332392,2.5928166760861677e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,59.00147503687592,0.999973170060451,2.682993954897565e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,60.00150003750093,0.9999722528733963,2.7747126603646685e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,61.00152503812595,0.9999713202721083,2.8679727891676862e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,62.00155003875096,0.9999703722566207,2.9627743379310358e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,63.00157503937598,0.9999694088269677,3.059117303223343e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,64.001600040001,0.9999684299831845,3.1570016815574396e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,65.00162504062601,0.9999674357253061,3.2564274693903666e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,66.00165004125103,0.9999664260533687,3.357394663123372e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,67.00167504187604,0.9999654009674089,3.459903259101912e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,68.00170004250106,0.9999643604674638,3.563953253615656e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,69.00172504312607,0.999963304553571,3.669544642898475e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,70.00175004375109,0.9999622332257687,3.7766774231284516e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,71.0017750443761,0.9999611464840957,3.885351590427878e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,72.00180004500112,0.9999600443285913,3.9955671408632534e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,73.00182504562613,0.9999589267592955,4.10732407044529e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,74.00185004625115,0.9999577937762487,4.220622375128905e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,75.00187504687617,0.9999566453794919,4.335462050813227e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,76.00190004750118,0.9999554815690666,4.451843093341592e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,77.0019250481262,0.999954302345015,4.569765498501549e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,78.00195004875121,0.9999531077073798,4.6892292620248566e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,79.00197504937623,0.9999518976562042,4.8102343795874786e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,80.00200005000124,0.9999506721915319,4.9327808468095954e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
